Char	Frequency
л	0.02863111094076388
о	0.040014564688296506
р	0.053812690442881506
е	0.10383089630325214
м	0.03932465840056726
 	0.15350414901975815
и	0.08623828596615626
п	0.028976064084628505
с	0.05829708131312163
у	0.07037044134838351
д	0.024836626358253004
т	0.0676108161974665
а	0.07554473850635289
,	0.016902704049366626
н	0.04449895555853663
г	0.007588969165021752
в	0.016902704049366626
ц	0.02794120465303463
.	0.017937563480960504
ю	0.0003449531438646251
х	0.008968781740480252
я	0.009313734884344876
б	0.006554109733427876
\r	0.0034399494068722333
\n	0.0034399494068722333
ф	0.004139437726375501
ч	0.0003449531438646251
з	0.0006899062877292502
